form	POS	lemma	POSUD	ud-feats
mie	ADVneg	mie	ADV	PronType=Neg
lui	PROper	il	PRON	PronType=Prs
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
li	DETdef	le	DET	PronType=Art|Definite=Def
qens	NOMcom	conte1	NOUN	_
li	PROper	il	PRON	PronType=Prs
demanda	VERcjg	demander	VERB	VerbForm=Fin
que	PROrel	que2	PRON	PronType=Rel
li	DETdef	le	DET	PronType=Art|Definite=Def
chevalier	NOMcom	chevalier	NOUN	_
avoit	VERcjg	avoir	VERB	VerbForm=Fin
fait	VERppe	faire	VERB	VerbForm=Part|Tense=Past
de	PRE	de	ADP	_
la	DETdef	le	DET	PronType=Art|Definite=Def
dame	NOMcom	dame	NOUN	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
il	PROper	il	PRON	PronType=Prs
li	PROper	il	PRON	PronType=Prs
dist	VERcjg	dire	VERB	VerbForm=Fin
que	CONsub	que4	SCONJ	_
il	PROper	il	PRON	PronType=Prs
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
avoit	VERcjg	avoir	VERB	VerbForm=Fin
remenee	VERppe	remener	VERB	VerbForm=Part|Tense=Past
à	PRE	a3	ADP	_
autel	DETind	autel1	DET	PronType=Ind
joie	NOMcom	joie	NOUN	_
et	CONcoo	et	CCONJ	_
à	PRE	a3	ADP	_
autel	DETind	autel1	DET	PronType=Ind
houneur	NOMcom	onor	NOUN	_
com	CONsub	come1	SCONJ	_
il	PROper	il	PRON	PronType=Prs
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
en	PROadv	en2	ADV	_
avoit	VERcjg	avoir	VERB	VerbForm=Fin
menee	VERppe	mener	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
fors	ADVgen	fors1	ADV	_
ke	CONsub	que4	SCONJ	_
de	PRE	de	ADP	_
jesir	VERinf	jesir	VERB	VerbForm=Inf
en	PRE	en1	ADP	_
sen	DETpos	son4	DET	Poss=Yes
lit	NOMcom	lit1	NOUN	_
.	PONfrt	.	PUNCT	_
«	PONfbl	«	PUNCT	_
Tiebaut	NOMpro	Thibaut	PROPN	_
,	PONfbl	,	PUNCT	_
autre	DETind	autre	DET	PronType=Ind
sens	NOMcom	sens	NOUN	_
eut	VERcjg	avoir	VERB	VerbForm=Fin
li	DETdef	le	DET	PronType=Art|Definite=Def
chevalier	NOMcom	chevalier	NOUN	_
ke	CONsub	que1	SCONJ	_
jou	PROper	je	PRON	PronType=Prs
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
eüsse	VERcjg	avoir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
que	CONcoo	que4	CCONJ	_
,	PONfbl	,	PUNCT	_
par	PRE	par	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
foi	NOMcom	foi	NOUN	_
que	PROrel	que2	PRON	PronType=Rel
jo	PROper	je	PRON	PronType=Prs
doi	VERcjg	devoir	VERB	VerbForm=Fin
vous	PROper	vos	PRON	PronType=Prs
,	PONfbl	,	PUNCT	_
que	CONcoo	que4	CCONJ	_
je	PROper	je	PRON	PronType=Prs
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
eüse	VERcjg	avoir	VERB	VerbForm=Fin
là	ADVgen	là	ADV	_
pendue	VERppe	pendre	VERB	VerbForm=Part|Tense=Past
à	PRE	a3	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
brance	NOMcom	branche	NOUN	_
d	PRE	de	ADP	_
’	PONfbl	’	PUNCT	_
un	DETndf	un	DET	PronType=Art|Definite=Ind
arbre	NOMcom	arbre	NOUN	_
par	PRE	par	ADP	_
les	DETdef	le	DET	PronType=Art|Definite=Def
treces	NOMcom	trece	NOUN	_
,	PONfbl	,	PUNCT	_
d	PRE	de	ADP	_
’	PONfbl	’	PUNCT	_
une	DETndf	un	DET	PronType=Art|Definite=Ind
ronse	NOMcom	ronce2	NOUN	_
u	CONcoo	o3	CCONJ	_
de	PRE	de	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
coroie	NOMcom	coroie	NOUN	_
meisme	ADJind	mëisme	ADJ	PronType=Ind
!	PONfrt	!	PUNCT	_
-	PONfbl	-	PUNCT	_
Sire	NOMcom	seignor	NOUN	_
»	PONfbl	»	PUNCT	_
,	PONfbl	,	PUNCT	_
fait	VERcjg	faire	VERB	VerbForm=Fin
mesire	NOMcom	monseignor	NOUN	_
Tiebaus	NOMpro	Thibaut	PROPN	_
,	PONfbl	,	PUNCT	_
«	PONfbl	«	PUNCT	_
Se	ADVgen	si	ADV	_
ne	ADVneg	ne1	ADV	PronType=Neg
fust	VERcjg	estre1	VERB	VerbForm=Fin
mie	ADVneg	mie	ADV	PronType=Neg
la	DETdef	le	DET	PronType=Art|Definite=Def
cose	NOMcom	chose	NOUN	_
si	ADVgen	si	ADV	_
bien	ADVgen	bien1	ADV	_
creüe	VERppe	croire	VERB	VerbForm=Part|Tense=Past
comme	CONsub	come1	SCONJ	_
elle	PROper	il	PRON	PronType=Prs
sera	VERcjg	estre1	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
quant	CONsub	cant1	SCONJ	_
la	DETdef	le	DET	PronType=Art|Definite=Def
dame	NOMcom	dame	NOUN	_
meismes	ADJind	mëisme	ADJ	PronType=Ind
le	PROper	il	PRON	PronType=Prs
temongnera	VERcjg	tesmoignier	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
autre	DETind	autre	DET	PronType=Ind
chose	NOMcom	chose	NOUN	_
vosissent	VERcjg	voloir	VERB	VerbForm=Fin
creire	VERinf	croire	VERB	VerbForm=Inf
.	PONfrt	.	PUNCT	_
Mes	CONcoo	mais1	CCONJ	_
li	DETdef	le	DET	PronType=Art|Definite=Def
sainz	NOMcom	saint	NOUN	_
ne	ADVneg	ne1	ADV	PronType=Neg
se	PROper	soi1	PRON	PronType=Prs
vot	VERcjg	voloir	VERB	VerbForm=Fin
recreire	VERinf	recroire	VERB	VerbForm=Inf
por	PRE	por2	ADP	_
lor	DETpos	lor2	DET	Poss=Yes
manace	NOMcom	menace	NOUN	_
de	PRE	de	ADP	_
bien	ADVgen	bien1	ADV	_
faire	VERinf	faire	VERB	VerbForm=Inf
,	PONfbl	,	PUNCT	_
ainz	ADVgen	ainz	ADV	_
voleit	VERcjg	voloir	VERB	VerbForm=Fin
destruire	VERinf	destruire	VERB	VerbForm=Inf
et	CONcoo	et	CCONJ	_
deffaire	VERinf	desfaire	VERB	VerbForm=Inf
lor	DETpos	lor2	DET	Poss=Yes
ymagres	NOMcom	image	NOUN	_
dedenz	PRE	dedenz	ADP	_
lor	DETpos	lor2	DET	Poss=Yes
temples	NOMcom	temple3	NOUN	_
.	PONfrt	.	PUNCT	_
Si	ADVgen	si	ADV	_
li	PROper	il	PRON	PronType=Prs
arragerent	VERcjg	arrachier	VERB	VerbForm=Fin
les	DETdef	le	DET	PronType=Art|Definite=Def
temples	NOMcom	temple1	NOUN	_
maintes	DETind	maint	DET	PronType=Ind
feiz	NOMcom	foiz	NOUN	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
bien	ADVgen	bien1	ADV	_
li	PROper	il	PRON	PronType=Prs
batirent	VERcjg	batre	VERB	VerbForm=Fin
et	CONcoo	et	CCONJ	_
sa	DETpos	son4	DET	Poss=Yes
robe	NOMcom	robe	NOUN	_
li	PROper	il	PRON	PronType=Prs
derompirent	VERcjg	desrompre	VERB	VerbForm=Fin
li	DETdef	le	DET	PronType=Art|Definite=Def
Sarrazin	NOMpro	sarrasin	PROPN	_
,	PONfbl	,	PUNCT	_
qui	PROrel	que2	PRON	PronType=Rel
le	PROper	il	PRON	PronType=Prs
haïrent	VERcjg	häir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
ne	CONcoo	ne2	CCONJ	_
depecer	VERinf	depecier	VERB	VerbForm=Inf
ne	ADVneg	ne1	ADV	PronType=Neg
li	PROper	il	PRON	PronType=Prs
soffrirent	VERcjg	sofrir	VERB	VerbForm=Fin
lor	DETpos	lor2	DET	Poss=Yes
dex	NOMcom	dieu	NOUN	_
,	PONfbl	,	PUNCT	_
que	PROrel	que2	PRON	PronType=Rel
depecer	VERinf	depecier	VERB	VerbForm=Inf
voleit	VERcjg	voloir	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
Mes	CONcoo	mais1	CCONJ	_
cil	PROdem	cel	PRON	PronType=Dem
qui	PROrel	qui	PRON	PronType=Rel
.	PONfrt	.	PUNCT	_
c	DETcar	100	DET	NumType=Card
.	PONfrt	.	PUNCT	_
tanz	NOMcom	tens	NOUN	_
se	PROper	soi1	PRON	PronType=Prs
doleit	VERcjg	doloir	VERB	VerbForm=Fin
dont	PROrel	dont	PRON	PronType=Rel
les	DETdef	le	DET	PronType=Art|Definite=Def
ymagres	NOMcom	image	NOUN	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
abateit	VERcjg	abatre	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
que	CONsub	que1	SCONJ	_
de	PRE	de	ADP	_
ceu	PROdem	ce1	PRON	PronType=Dem
don	PROrel	dont	PRON	PronType=Rel
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
en	PROind	on	PRON	PronType=Ind
le	DETdef	le	DET	PronType=Art|Definite=Def
bateit	VERcjg	batre	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
pria	VERcjg	priier	VERB	VerbForm=Fin
Deu	NOMpro	Dieu	PROPN	_
que	CONsub	que4	SCONJ	_
delivrement	ADVgen	delivrement2	ADV	_
li	PROper	il	PRON	PronType=Prs
feïst	VERcjg	faire	VERB	VerbForm=Fin
tel	DETind	tel	DET	PronType=Ind
ajüement	NOMcom	äidement	NOUN	_
que	CONsub	que4	SCONJ	_
les	DETdef	le	DET	PronType=Art|Definite=Def
ymagres	NOMcom	image	NOUN	_
destruisist	VERcjg	destruire	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
Et	CONcoo	et	CCONJ	_
Envie	NOMpro	envie	PROPN	_
,	PONfbl	,	PUNCT	_
qui	PROrel	qui	PRON	PronType=Rel
raison	NOMcom	raison	NOUN	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
a	VERcjg	avoir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
fist	VERcjg	faire	VERB	VerbForm=Fin
les	DETdef	le	DET	PronType=Art|Definite=Def
enfanz	NOMcom	enfant	NOUN	_
avant	ADVgen	avant	ADV	_
venir	VERinf	venir	VERB	VerbForm=Inf
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
le	DETdef	le	DET	PronType=Art|Definite=Def
proveire	NOMcom	provoire	NOUN	_
en	PRE	en1	ADP	_
plet	NOMcom	plait	NOUN	_
tenir	VERinf	tenir1	VERB	VerbForm=Inf
de	PRE	de	ADP	_
la	DETdef	le	DET	PronType=Art|Definite=Def
chose	NOMcom	chose	NOUN	_
qui	PROrel	qui	PRON	PronType=Rel
fut	VERcjg	estre1	VERB	VerbForm=Fin
donné	VERppe	doner	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
si	ADVgen	si	ADV	_
que	CONsub	que4	SCONJ	_
les	DETdef	le	DET	PronType=Art|Definite=Def
genz	NOMcom	gent1	NOUN	_
de	PRE	de	ADP	_
la	DETdef	le	DET	PronType=Art|Definite=Def
contree	NOMcom	contree	NOUN	_
li	PROper	il	PRON	PronType=Prs
loerent	VERcjg	löer1	VERB	VerbForm=Fin
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
il	PROper	il	PRON	PronType=Prs
la	PROper	il	PRON	PronType=Prs
laissast	VERcjg	laissier	VERB	VerbForm=Fin
et	CONcoo	et	CCONJ	_
que	CONsub	que4	SCONJ	_
vers	PRE	vers2	ADP	_
Tors	NOMpro	Tours	PROPN	_
tost	ADVgen	tost1	ADV	_
s	PROper	soi1	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
eslaissast	VERcjg	eslaissier	VERB	VerbForm=Fin
por	PRE	por2	ADP	_
requerre	VERinf	requerre	VERB	VerbForm=Inf
à	PRE	a3	ADP	_
Martin	NOMpro	Martin	PROPN	_
s	DETpos	son4	DET	Poss=Yes
’	PONfbl	’	PUNCT	_
aïe	NOMcom	äie	NOUN	_
,	PONfbl	,	PUNCT	_
par	PRE	par	ADP	_
cui	PROrel	cui	PRON	PronType=Rel
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
iglise	NOMcom	eglise	NOUN	_
en	PROadv	en2	ADV	_
fut	VERcjg	estre1	VERB	VerbForm=Fin
saisie	VERppe	saisir	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
davant	ADVgen	devant	ADV	_
que	CONsub	que4	SCONJ	_
cil	PROdem	cel	PRON	PronType=Dem
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
otreia	VERcjg	otroiier	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
prestres	NOMcom	prestre	NOUN	_
lores	ADVgen	lors	ADV	_
sa	DETpos	son4	DET	Poss=Yes
voie	NOMcom	voie	NOUN	_
a	VERcjg	avoir	VERB	VerbForm=Fin
vers	PRE	vers2	ADP	_
Tors	NOMpro	Tours	PROPN	_
le	DETdef	le	DET	PronType=Art|Definite=Def
dreit	ADJqua	droit	ADJ	_
chemin	NOMcom	chemin	NOUN	_
enprise	VERppe	emprendre	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
tant	ADVgen	tant	ADV	_
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
il	PROper	il	PRON	PronType=Prs
vint	VERcjg	venir	VERB	VerbForm=Fin
à	PRE	a3	ADP	_
Tors	NOMpro	Tours	PROPN	_
à	PRE	a3	ADP	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
iglise	NOMcom	eglise	NOUN	_
.	PONfrt	.	PUNCT	_
Quant	CONsub	cant1	SCONJ	_
Martins	NOMpro	Martin	PROPN	_
ot	VERcjg	avoir	VERB	VerbForm=Fin
messe	NOMcom	messe	NOUN	_
chantee	VERppe	chanter	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
si	ADVgen	si	ADV	_
li	PROper	il	PRON	PronType=Prs
a	VERcjg	avoir	VERB	VerbForm=Fin
la	DETdef	le	DET	PronType=Art|Definite=Def
chose	NOMcom	chose	NOUN	_
contee	VERppe	conter	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
Dom	PROrel	dont	PRON	PronType=Rel
tuit	PROind	tot	PRON	PronType=Ind
ensemble	ADVgen	ensemble	ADV	_
se	PROper	soi1	PRON	PronType=Prs
confortent	VERcjg	conforter	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
L	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
arcediacre	NOMcom	arcediacne	NOUN	_
a	VERcjg	avoir	VERB	VerbForm=Fin
escoutee	VERppe	escouter	VERB	VerbForm=Part|Tense=Past
chose	NOMcom	chose	NOUN	_
qui	PROrel	que2	PRON	PronType=Rel
point	ADVneg	point	ADV	PronType=Neg
ne	ADVneg	ne1	ADV	PronType=Neg
li	PROper	il	PRON	PronType=Prs
agree	VERcjg	agreer	VERB	VerbForm=Fin
;	PONfbl	;	PUNCT	_
si	ADVgen	si	ADV	_
a	VERcjg	avoir	VERB	VerbForm=Fin
tost	ADVgen	tost1	ADV	_
à	PRE	a3	ADP	_
Tors	NOMpro	Tours	PROPN	_
envoié	VERppe	envoiier	VERB	VerbForm=Part|Tense=Past
as	PRE.DETdef	a3+le	ADP.DET	_.PronType=Art|Definite=Yes
clers	NOMcom	clerc	NOUN	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
molt	ADVgen	mout	ADV	_
lor	PROper	il	PRON	PronType=Prs
a	VERcjg	avoir	VERB	VerbForm=Fin
prié	VERppe	priier	VERB	VerbForm=Part|Tense=Past
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
i	PROper	il	PRON	PronType=Prs
li	PROper	il	PRON	PronType=Prs
mandent	VERcjg	mander	VERB	VerbForm=Fin
quel	DETrel	quel1	DET	PronType=Rel
hore	NOMcom	ore3	NOUN	_
il	PROper	il	PRON	PronType=Prs
ere	VERcjg	estre1	VERB	VerbForm=Fin
quant	CONsub	cant1	SCONJ	_
Dex	NOMpro	Dieu	PROPN	_
prist	VERcjg	prendre	VERB	VerbForm=Fin
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
arme	NOMcom	ame	NOUN	_
de	PRE	de	ADP	_
lor	DETpos	lor2	DET	Poss=Yes
pere	NOMcom	pere	NOUN	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
quel	DETrel	quel1	DET	PronType=Rel
jor	NOMcom	jor	NOUN	_
et	CONcoo	et	CCONJ	_
quele	DETrel	quel1	DET	PronType=Rel
semaine	NOMcom	semaine	NOUN	_
.	PONfrt	.	PUNCT	_
Si	ADVgen	si	ADV	_
li	PROper	il	PRON	PronType=Prs
mandent	VERcjg	mander	VERB	VerbForm=Fin
qu	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
au	PRE.DETdef	a3+le	ADP.DET	_.PronType=Art|Definite=Yes
diemaine	NOMcom	dïemaine	NOUN	_
,	PONfbl	,	PUNCT	_
quant	CONsub	cant1	SCONJ	_
la	DETdef	le	DET	PronType=Art|Definite=Def
mienuit	NOMcom	mïenuit	NOUN	_
fu	VERcjg	estre1	VERB	VerbForm=Fin
passee	VERppe	passer1	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
s	PROper	soi1	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
en	PROadv	en2	ADV	_
ert	VERcjg	estre1	VERB	VerbForm=Fin
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
arme	NOMcom	ame	NOUN	_
de	PRE	de	ADP	_
lui	PROper	il	PRON	PronType=Prs
alee	VERppe	aler	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Lors	ADVgen	lors	ADV	_
a	VERcjg	avoir	VERB	VerbForm=Fin
li	DETdef	le	DET	PronType=Art|Definite=Def
mesagiers	NOMcom	messagier	NOUN	_
troté	VERppe	troter	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
arcediacre	NOMcom	arcediacne	NOUN	_
ot	VERcjg	avoir	VERB	VerbForm=Fin
noté	VERppe	noter1	VERB	VerbForm=Part|Tense=Past
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
ore	NOMcom	ore3	NOUN	_
et	CONcoo	et	CCONJ	_
le	DETdef	le	DET	PronType=Art|Definite=Def
jor	NOMcom	jor	NOUN	_
qu	PROrel	que2	PRON	PronType=Rel
’	PONfbl	’	PUNCT	_
il	PROimp	il	PRON	PronType=Prs
lor	PROper	il	PRON	PronType=Prs
avint	VERcjg	avenir	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
Si	ADVgen	si	ADV	_
sot	VERcjg	savoir	VERB	VerbForm=Fin
bien	ADVgen	bien1	ADV	_
,	PONfbl	,	PUNCT	_
quant	CONsub	cant1	SCONJ	_
cil	PROdem	cel	PRON	PronType=Dem
de	PRE	de	ADP	_
là	ADVgen	là	ADV	_
vint	VERcjg	venir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
Je	PROper	je	PRON	PronType=Prs
croi	VERcjg	croire	VERB	VerbForm=Fin
ke	CONsub	que4	SCONJ	_
autre	DETind	autre	DET	PronType=Ind
cose	NOMcom	chose	NOUN	_
en	PROadv	en2	ADV	_
feroient	VERcjg	faire	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
mout	ADVgen	mout	ADV	_
en	PROadv	en2	ADV	_
sont	VERcjg	estre1	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
se	CONsub	se	SCONJ	_
il	PROper	il	PRON	PronType=Prs
seüsent	VERcjg	savoir	VERB	VerbForm=Fin
le	DETdef	le	DET	PronType=Art|Definite=Def
jour	NOMcom	jor	NOUN	_
ke	PROrel	que2	PRON	PronType=Rel
il	PROper	il	PRON	PronType=Prs
morir	VERinf	morir	VERB	VerbForm=Inf
deüsent	VERcjg	devoir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
ja	ADVgen	ja	ADV	_
puissedi	ADVgen	puissedi	ADV	_
bon	ADJqua	bon	ADJ	_
jour	NOMcom	jor	NOUN	_
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
aroient	VERcjg	avoir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
car	CONcoo	car	CCONJ	_
à	PRE	a3	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
mort	NOMcom	mort	NOUN	_
adiés	ADVgen	adès	ADV	_
penseroient	VERcjg	penser	VERB	VerbForm=Fin
;	PONfbl	;	PUNCT	_
et	CONcoo	et	CCONJ	_
non	ADVneg	non	ADV	PronType=Neg
pourquant	ADVgen	por2+cant2	ADV	_
onkes	ADVgen	onque	ADV	_
ne	ADVneg	ne1	ADV	PronType=Neg
fine	VERcjg	finer	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
seur	PRE	sor2	ADP	_
nons	PROper	nos1	PRON	PronType=Prs
vient	VERcjg	venir	VERB	VerbForm=Fin
à	PRE	a3	ADP	_
mout	ADVgen	mout	ADV	_
grant	ADJqua	grant	ADJ	_
ravine	NOMcom	ravine	NOUN	_
.	PONfrt	.	PUNCT	_
He	INJ	e2	INTJ	_
las	ADJqua	las	ADJ	_
!	PONfrt	!	PUNCT	_
bon	ADVgen	bon	ADV	_
i	PROadv	i2	ADV	_
feroit	VERcjg	faire	VERB	VerbForm=Fin
penseir	VERinf	penser	VERB	VerbForm=Inf
et	CONcoo	et	CCONJ	_
de	PRE	de	ADP	_
tous	DETind	tot	DET	PronType=Ind
maus	NOMcom	mal1	NOUN	_
faire	VERinf	faire	VERB	VerbForm=Inf
cesser	VERinf	cesser	VERB	VerbForm=Inf
se	ADVgen	si	ADV	_
c	CONsub	que4	SCONJ	_
’	PONfbl	’	PUNCT	_
on	PROind	on	PRON	PronType=Ind
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
en	PROadv	en2	ADV	_
fust	VERcjg	estre1	VERB	VerbForm=Fin
mie	ADVneg	mie	ADV	PronType=Neg
soupris	VERppe	sorprendre	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Ki	PROrel	qui	PRON	PronType=Rel
garnis	VERppe	garnir	VERB	VerbForm=Part|Tense=Past
est	VERcjg	estre1	VERB	VerbForm=Fin
n	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
est	VERcjg	estre1	VERB	VerbForm=Fin
desconfis	VERppe	desconfire	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Par	PRE	par	ADP	_
celui	DETdem	cel	DET	PronType=Dem
Dieu	NOMpro	Dieu	PROPN	_
ki	PROrel	qui	PRON	PronType=Rel
fist	VERcjg	faire	VERB	VerbForm=Fin
le	DETdef	le	DET	PronType=Art|Definite=Def
trosne	NOMcom	tron	NOUN	_
,	PONfbl	,	PUNCT	_
plus	ADVgen	plus	ADV	_
seüre	ADJqua	sëur2	ADJ	_
est	VERcjg	estre1	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
che	PROdem	ce1	PRON	PronType=Dem
croi	VERcjg	croire	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
aumosne	NOMcom	aumosne	NOUN	_
faite	VERppe	faire	VERB	VerbForm=Part|Tense=Past
quant	CONsub	cant1	SCONJ	_
a	VERcjg	avoir	VERB	VerbForm=Fin
vie	NOMcom	vie1	NOUN	_
le	DETdef	le	DET	PronType=Art|Definite=Def
cors	NOMcom	cors1	NOUN	_
k	CONsub	que1	SCONJ	_
’	PONfbl	’	PUNCT	_
ele	PROper	il	PRON	PronType=Prs
ne	ADVneg	ne1	ADV	PronType=Neg
fait	VERcjg	faire	VERB	VerbForm=Fin
quant	CONsub	cant1	SCONJ	_
il	PROper	il	PRON	PronType=Prs
est	VERcjg	estre1	VERB	VerbForm=Fin
mors	VERppe	morir	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
De	PRE	de	ADP	_
tous	DETind	tot	DET	PronType=Ind
chiax	PROdem	cel	PRON	PronType=Dem
c	PROrel	que2	PRON	PronType=Rel
’	PONfbl	’	PUNCT	_
avés	VERcjg	avoir	VERB	VerbForm=Fin
pris	VERppe	prendre	VERB	VerbForm=Part|Tense=Past
à	PRE	a3	ADP	_
trape	NOMcom	trape	NOUN	_
gardés	VERcjg	garder	VERB	VerbForm=Fin
ke	CONsub	que4	SCONJ	_
nus	PROind	nul	PRON	PronType=Ind
ne	ADVneg	ne1	ADV	PronType=Neg
vous	PROper	vos	PRON	PronType=Prs
escape	VERcjg	eschaper	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
Dame	NOMcom	dame	NOUN	_
,	PONfbl	,	PUNCT	_
adés	ADVgen	adès	ADV	_
fai	VERcjg	faire	VERB	VerbForm=Fin
vo	DETpos	vostre	DET	Poss=Yes
volentei	NOMcom	volenté	NOUN	_
et	CONcoo	et	CCONJ	_
en	PRE	en1	ADP	_
yver	NOMcom	iver2	NOUN	_
et	CONcoo	et	CCONJ	_
en	PROadv	en2	ADV	_
estei	NOMcom	esté1	NOUN	_
,	PONfbl	,	PUNCT	_
mais	CONcoo	mais1	CCONJ	_
armures	NOMcom	armëure	NOUN	_
devés	VERcjg	devoir	VERB	VerbForm=Fin
prester	VERinf	prester	VERB	VerbForm=Inf
de	PRE	de	ADP	_
quoi	PROrel	coi2	PRON	PronType=Rel
je	PROper	je	PRON	PronType=Prs
me	PROper	je	PRON	PronType=Prs
puisse	VERcjg	pöoir	VERB	VerbForm=Fin
adouber	VERinf	adober	VERB	VerbForm=Inf
:	PONfbl	:	PUNCT	_
orgoillous	ADJqua	orgoillos	ADJ	_
dras	NOMcom	drap	NOUN	_
,	PONfbl	,	PUNCT	_
riches	ADJqua	riche	ADJ	_
juaus	NOMcom	jöel	NOUN	_
,	PONfbl	,	PUNCT	_
aumoniere	NOMcom	aumosniere	NOUN	_
,	PONfbl	,	PUNCT	_
chainture	NOMcom	ceinture	NOUN	_
,	PONfbl	,	PUNCT	_
aniaus	NOMcom	anel1	NOUN	_
,	PONfbl	,	PUNCT	_
boire	NOMcom	boivre	NOUN	_
et	CONcoo	et	CCONJ	_
mangier	NOMcom	mangier	NOUN	_
en	PRE	en1	ADP	_
licherie	NOMcom	lecherie	NOUN	_
;	PONfbl	;	PUNCT	_
adont	ADVgen	adonc	ADV	_
ferai	VERcjg	faire	VERB	VerbForm=Fin
chevalerie	NOMcom	chevalerie	NOUN	_
.	PONfrt	.	PUNCT	_
